UNITID,University Name,State,Institution Type,Average Cost,Median Debt,Earnings (10 Years Out),Earnings (6 Years Out),Academic Year
13508109,Keiser University-Tampa,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508110,Keiser University-Pembroke Pines,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508111,Keiser University-Port St Lucie,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508112,Keiser University-West Palm Beach,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508113,Keiser University-Ft Myers,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508114,Keiser University -  Clearwater,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508115,Keiser University - New Port Richey,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508116,Keiser University - Residential (Flagship),FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13830901,Rasmussen University-Central Pasco,FL,Private For-Profit,,19461.0,35667.0,32226.0,2018-19
13830902,Rasmussen University-Fort Myers,FL,Private For-Profit,,19461.0,35667.0,32226.0,2018-19
13830903,Rasmussen University-Tampa/Brandon,FL,Private For-Profit,,19461.0,35667.0,32226.0,2018-19
13830904,Rasmussen University-Land O' Lakes,FL,Private For-Profit,,19461.0,35667.0,32226.0,2018-19
13957901,South University-Savannah,GA,Private For-Profit,,25166.0,36710.0,26001.0,2018-19
13962101,East Georgia State College - Statesboro,GA,Public,,12000.0,35461.0,28504.0,2018-19
13962102,East Georgia State College - Augusta,GA,Public,,12000.0,35461.0,28504.0,2018-19
17706504,Columbia College - NAS Jacksonville,FL,Private Non-Profit,,24773.0,43125.0,34516.0,2018-19
17706505,Columbia College - Orlando,FL,Private Non-Profit,,24773.0,43125.0,34516.0,2018-19
17706520,Columbia College - Patrick AFB,FL,Private Non-Profit,,24773.0,43125.0,34516.0,2018-19
17706523,Columbia College - Fort Stewart,GA,Private Non-Profit,,24773.0,43125.0,34516.0,2018-19
17706524,Columbia College - Hunter Army Airfield,GA,Private Non-Profit,,24773.0,43125.0,34516.0,2018-19
17706529,Columbia College -  Jacksonville,FL,Private Non-Profit,,24773.0,43125.0,34516.0,2018-19
20627902,Florida Center,FL,Private Non-Profit,,17250.0,57590.0,57943.0,2018-19
20750002,University of Oklahoma - Ft. Benning GA - AP,GA,Public,,21000.0,57071.0,46766.0,2018-19
24893416,ECPI University - Orlando,FL,Private For-Profit,,20000.0,36822.0,34780.0,2018-19
38561901,Everglades University-Orlando,FL,Private Non-Profit,,40659.0,43794.0,37614.0,2018-19
38561902,Everglades University-Sarasota,FL,Private Non-Profit,,40659.0,43794.0,37614.0,2018-19
38561903,Everglades University - Tampa,FL,Private Non-Profit,,40659.0,43794.0,37614.0,2018-19
38561904,Everglades University - Miami,FL,Private Non-Profit,,40659.0,43794.0,37614.0,2018-19
40884401,Florida National University-South Campus,FL,Private For-Profit,,25606.0,29148.0,27417.0,2018-19
40884402,Florida National University Training Center,FL,Private For-Profit,,25606.0,29148.0,27417.0,2018-19
42817001,Southeastern College-Miami Lakes,FL,Private For-Profit,,14239.0,32929.0,32438.0,2018-19
44903801,Strayer University-Tampa East Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903802,Strayer University-Maitland Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903803,Strayer University-Orlando East Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903804,Strayer University-Sand Lake Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903805,Strayer University-Baymeadows Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903806,Strayer University-Palm Beach Gardens Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903808,Strayer University-Fort Lauderdale Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
44903809,Strayer University-Miramar Campus,FL,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891901,Strayer University-Cobb Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891902,Strayer University-Morrow Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891903,Strayer University-Roswell Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891904,Strayer University-Douglasville Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891905,Strayer University-Lithonia Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891906,Strayer University-Savannah Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891907,Strayer University-Augusta Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891908,Strayer University-Columbus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
45891909,Strayer University - Macon Campus,GA,Private For-Profit,,39000.0,43590.0,30628.0,2018-19
48511101,Georgia Military College - Zebulon,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511102,Georgia Military College - Albany,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511103,Georgia Military College - Valdosta,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511104,Georgia Military College - Augusta,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511105,Georgia Military College - Fairburn,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511106,Georgia Military College - Robins,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511107,Georgia Military College - Columbus,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511108,Georgia Military College - Sandersville,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511109,Georgia Military College - Madison,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511110,Georgia Military College - Stone Mountain,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511111,Georgia Military College - Fayetteville,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511112,Georgia Military College - Dublin,GA,Public,,9371.0,34727.0,28845.0,2018-19
48511113,Georgia Military College - Rockdale,GA,Public,,9371.0,34727.0,28845.0,2018-19
128498,Albertus Magnus College,CT,Private Non-Profit,49229.0,30836.0,52250.0,43506.0,2019-20
128577,Asnuntuck Community College,CT,Public,13056.0,5625.0,40973.0,39857.0,2019-20
128674,Branford Hall Career Institute-Branford Campus,CT,Private For-Profit,,9087.0,32821.0,31153.0,2019-20
128744,University of Bridgeport,CT,Private Non-Profit,50556.0,26000.0,51396.0,41258.0,2019-20
128771,Central Connecticut State University,CT,Public,22007.0,22000.0,56799.0,49656.0,2019-20
128780,Charter Oak State College,CT,Public,17353.0,18750.0,57234.0,51516.0,2019-20
128896,Cortiva Institute,CT,Private For-Profit,,7600.0,31510.0,27145.0,2019-20
128902,Connecticut College,CT,Private Non-Profit,71970.0,23250.0,70044.0,54310.0,2019-20
129002,Porter & Chester Institute of Hamden,CT,Private For-Profit,27737.0,12360.0,41057.0,34985.0,2019-20
129020,University of Connecticut,CT,Public,32016.0,21500.0,76076.0,58770.0,2019-20
129154,Goodwin University,CT,Private Non-Profit,33887.0,31096.0,36227.0,37107.0,2019-20
129181,Lincoln Technical Institute-East Windsor,CT,Private For-Profit,,11250.0,36416.0,34481.0,2019-20
129215,Eastern Connecticut State University,CT,Public,26310.0,23700.0,52411.0,46225.0,2019-20
129242,Fairfield University,CT,Private Non-Profit,65234.0,26322.0,95393.0,75433.0,2019-20
129349,Paul Mitchell the School-North Haven,CT,Private For-Profit,,6333.0,14772.0,,2019-20
129367,Connecticut State Community College,CT,Public,13474.0,8000.0,38697.0,32307.0,2019-20
129428,Rensselaer at Hartford,CT,Private Non-Profit,,24194.0,100141.0,83825.0,2019-20
129482,American Institute-West Hartford,CT,Private For-Profit,,12074.0,29474.0,24039.0,2019-20
129525,University of Hartford,CT,Private Non-Profit,55078.0,27000.0,63870.0,41345.0,2019-20
129543,Connecticut State Community College Housatonic,CT,Public,10577.0,6534.0,35340.0,33530.0,2019-20
129695,Manchester Community College,CT,Public,12217.0,4950.0,41721.0,33416.0,2019-20
129729,Naugatuck Valley Community College,CT,Public,11363.0,8000.0,44125.0,34394.0,2019-20
129756,Middlesex Community College,CT,Public,10129.0,6750.0,36949.0,32489.0,2019-20
129774,Mitchell College,CT,Private Non-Profit,47450.0,25500.0,36205.0,33031.0,2019-20
